Match_No,Innings,Batsman,Mode of Dismissal,Runs,Balls_Faced,4s,6s,Strike_Rate,Byes,Leg_Byes,No_Ball,Wides,Impact_Sub,Captain,Team
1,1st,Devon Conway ,b Mohammed Shami,1,6,0,0,16.66,,,,,No,No,CSK
1,1st,Ruturaj Gaikwad ,c Shubman Gill b Joseph,92,50,4,9,184,,,,,No,No,CSK
1,1st,Moeen Ali ,c †Saha b Rashid Khan,23,17,4,1,135.29,,,,,No,No,CSK
1,1st,Ben Stokes ,c †Saha b Rashid Khan,7,6,1,0,116.66,,,,,No,No,CSK
1,1st,Ambati Rayudu ,b Little,12,12,0,1,100,,,,,Yes,No,CSK
1,1st,Shivam Dube ,c Rashid Khan b Mohammed Shami,19,18,0,1,105.55,,,,,No,No,CSK
1,1st,Ravindra Jadeja ,c Shankar b Joseph,1,2,0,0,50,,,,,No,No,CSK
1,1st,MS Dhoni ,not out,14,7,1,1,200,,,,,No,Yes,CSK
1,1st,Mitchell Santner ,not out,1,3,0,0,33.33,,,,,No,No,CSK
1,1st,Extras,,8,,,,,1,6,1,0,,,CSK
1,2nd,Wriddhiman Saha,c Dube b Hangargekar,25,16,2,2,156.25,,,,,No,No,GT
1,2nd,Shubman Gill ,c Gaikwad b Deshpande,63,36,6,3,175,,,,,No,No,GT
1,2nd,Sai Sudharsan ,c †Dhoni b Hangargekar,22,17,3,0,129.41,,,,,Yes,No,GT
1,2nd,Hardik Pandya ,b Jadeja,8,11,0,0,72.72,,,,,No,Yes,GT
1,2nd,Vijay Shankar ,c Santner b Hangargekar,27,21,2,1,128.57,,,,,No,No,GT
1,2nd,Rahul Tewatia ,not out,15,14,1,1,107.14,,,,,No,No,GT
1,2nd,Rashid Khan ,not out,10,3,1,1,333.33,,,,,No,No,GT
1,2nd,Extras,,12,,,,,0,6,2,4,,,GT
2,1st,Prabhsimran Singh ,c †Rahmanullah Gurbaz b Southee,23,12,2,2,191.66,,,,,No,No,PK
2,1st,Shikhar Dhawan ,b Varun,40,29,6,0,137.93,,,,,No,Yes,PK
2,1st,Bhanuka Rajapaksa ,c Singh b Yadav,50,32,5,2,156.25,,,,,Yes,No,PK
2,1st,Jitesh Sharma ,c Yadav b Southee,21,11,1,2,190.9,,,,,No,No,PK
2,1st,Sikandar Raza ,c Rana b Narine,16,13,1,1,123.07,,,,,No,No,PK
2,1st,Sam Curran ,not out,26,17,0,2,152.94,,,,,No,No,PK
2,1st,M Shahrukh Khan ,not out,11,7,2,0,157.14,,,,,No,No,PK
2,1st,Extras,,4,,,,,0,1,1,2,,,PK
2,2nd,Mandeep Singh ,c Curran b Arshdeep Singh,2,4,0,0,50,,,,,No,No,KKR
2,2nd,Rahmanullah Gurbaz ,b Ellis,22,16,3,1,137.5,,,,,No,No,KKR
2,2nd,Anukul Roy ,c Sikandar Raza b Arshdeep Singh,4,5,1,0,80,,,,,No,No,KKR
2,2nd,Venkatesh Iyer ,c Chahar b Arshdeep Singh,34,28,3,1,121.42,,,,,Yes,No,KKR
2,2nd,Nitish Rana ,c Chahar b Sikandar Raza,24,17,3,1,141.17,,,,,No,Yes,KKR
2,2nd,Rinku Singh ,c Sikandar Raza b Chahar,4,4,0,0,100,,,,,No,No,KKR
2,2nd,Andre Russell ,c Sikandar Raza b Curran,35,19,3,2,184.21,,,,,No,No,KKR
2,2nd,Shardul Thakur ,not out,8,3,0,1,266.66,,,,,No,No,KKR
2,2nd,Sunil Narine ,not out,7,2,0,1,350,,,,,No,No,KKR
2,2nd,Extras,,6,,,,,1,2,2,1,,,KKR
3,1st,KL Rahul ,c Patel b Sakariya,8,12,0,1,66.66,,,,,No,Yes,LSG
3,1st,Kyle Mayers ,b Patel,73,38,2,7,192.1,,,,,No,No,LSG
3,1st,Deepak Hooda ,c Warner b Kuldeep Yadav,17,18,0,0,94.44,,,,,No,No,LSG
3,1st,Krunal Pandya ,not out,15,13,0,1,115.38,,,,,No,No,LSG
3,1st,Marcus Stoinis ,c †Khan b Ahmed,12,10,0,1,120,,,,,No,No,LSG
3,1st,Nicholas Pooran ,c Shaw b Ahmed,36,21,2,3,171.42,,,,,No,No,LSG
3,1st,Ayush Badoni ,c †Khan b Sakariya,18,7,1,2,257.14,,,,,Yes,No,LSG
3,1st,Krishnappa Gowtham ,not out,6,1,0,1,600,,,,,Yes,No,LSG
3,1st,Extras,,8,,,,,1,2,0,5,,,LSG
3,2nd,Prithvi Shaw ,b Wood,12,9,2,0,133.33,,,,,No,No,DC
3,2nd,David Warner ,c Gowtham b Avesh Khan,56,48,7,0,116.66,,,,,No,Yes,DC
3,2nd,Mitchell Marsh ,b Wood,0,1,0,0,0,,,,,No,No,DC
3,2nd,Sarfaraz Khan ,c Gowtham b Wood,4,9,1,0,44.44,,,,,No,No,DC
3,2nd,Rilee Rossouw ,c Mayers b Ravi Bishnoi,30,20,3,1,150,,,,,No,No,DC
3,2nd,Rovman Powell ,lbw b Ravi Bishnoi,1,3,0,0,33.33,,,,,No,No,DC
3,2nd,Aman Hakim Khan ,c †Pooran b Avesh Khan,4,5,0,0,80,,,,,Yes,No,DC
3,2nd,Axar Patel ,c sub (PN Mankad) b Wood,16,11,1,1,145.45,,,,,No,No,DC
3,2nd,Kuldeep Yadav ,not out,6,10,0,0,60,,,,,No,No,DC
3,2nd,Chetan Sakariya ,c Pandya b Wood,4,4,1,0,100,,,,,No,No,DC
3,2nd,Mukesh Kumar ,not out,0,1,0,0,0,,,,,No,No,DC
3,2nd,Extras,,10,,,,,0,0,1,9,,,DC
4,1st,Yashasvi Jaiswal ,c Agarwal b Fazalhaq Farooqi,54,37,9,0,145.94,,,,,Yes,No,RR
4,1st,Jos Buttler ,b Fazalhaq Farooqi,54,22,7,3,245.45,,,,,No,No,RR
4,1st,Sanju Samson ,c Abhishek Sharma b Natarajan,55,32,3,4,171.87,,,,,No,Yes,RR
4,1st,Devdutt Padikkal ,b Umran Malik,2,5,0,0,40,,,,,No,No,RR
4,1st,Riyan Parag ,c Fazalhaq Farooqi b Natarajan,7,6,1,0,116.66,,,,,No,No,RR
4,1st,Shimron Hetmyer ,not out,22,16,1,1,137.5,,,,,No,No,RR
4,1st,Ravichandran Ashwin ,not out,1,2,0,0,50,,,,,No,No,RR
4,1st,Extras,,8,,,,,5,1,0,2,,,RR
4,2nd,Abhishek Sharma ,b Boult,0,3,0,0,0,,,,,No,No,SRH
4,2nd,Mayank Agarwal ,c Buttler b Chahal,27,23,3,0,117.39,,,,,No,No,SRH
4,2nd,Rahul Tripathi ,c Holder b Boult,0,2,0,0,0,,,,,No,No,SRH
4,2nd,Harry Brook ,b Chahal,13,21,1,0,61.9,,,,,No,No,SRH
4,2nd,Washington Sundar ,c Hetmyer b Holder,1,5,0,0,20,,,,,No,No,SRH
4,2nd,Glenn Phillips ,c Asif b Ashwin,8,6,0,1,133.33,,,,,No,No,SRH
4,2nd,Abdul Samad ,not out,32,32,2,1,100,,,,,Yes,No,SRH
4,2nd,Adil Rashid ,st †Samson b Chahal,18,13,1,1,138.46,,,,,No,No,SRH
4,2nd,Bhuvneshwar Kumar ,b Chahal,6,10,0,0,60,,,,,No,Yes,SRH
4,2nd,Umran Malik ,not out,19,8,1,2,237.5,,,,,No,No,SRH
4,2nd,Extras,,7,,,,,1,0,3,3,,,SRH
5,1st,Rohit Sharma ,c †Karthik b Akash Deep,1,10,0,0,10,,,,,No,Yes,MI
5,1st,Ishan Kishan ,c Patel b Mohammed Siraj,10,13,2,0,76.92,,,,,No,No,MI
5,1st,Cameron Green ,b Topley,5,4,1,0,125,,,,,No,No,MI
5,1st,Suryakumar Yadav ,c Shahbaz Ahmed b Bracewell,15,16,1,0,93.75,,,,,Yes,No,MI
5,1st,Tilak Varma ,not out,84,46,9,4,182.6,,,,,No,No,MI
5,1st,Nehal Wadhera ,c Kohli b Sharma,21,13,1,2,161.53,,,,,No,No,MI
5,1st,Tim David ,b Sharma,4,7,0,0,57.14,,,,,No,No,MI
5,1st,Hrithik Shokeen ,c du Plessis b Patel,5,3,1,0,166.66,,,,,No,No,MI
5,1st,Arshad Khan ,not out,15,9,0,1,166.66,,,,,No,No,MI
5,1st,Extras,,11,,,,,0,0,1,10,,,MI
5,2nd,Virat Kohli ,not out,82,49,6,5,167.34,,,,,No,No,RCB
5,2nd,Faf du Plessis ,c David b Arshad Khan,73,43,5,6,169.76,,,,,No,Yes,RCB
5,2nd,Dinesh Karthik ,c Tilak Varma b Green,0,3,0,0,0,,,,,No,No,RCB
5,2nd,Glenn Maxwell ,not out,12,3,0,2,400,,,,,No,No,RCB
5,2nd,Extras,,5,,,,,0,1,0,4,,,RCB
6,1st,Ruturaj Gaikwad ,c Wood b Ravi Bishnoi,57,31,3,4,183.87,,,,,No,No,CSK
6,1st,Devon Conway ,c Pandya b Wood,47,29,5,2,162.06,,,,,No,No,CSK
6,1st,Shivam Dube ,c Wood b Ravi Bishnoi,27,16,1,3,168.75,,,,,No,No,CSK
6,1st,Moeen Ali ,st †Pooran b Ravi Bishnoi,19,13,3,0,146.15,,,,,No,No,CSK
6,1st,Ben Stokes ,c Yash Thakur b Avesh Khan,8,8,1,0,100,,,,,No,No,CSK
6,1st,Ambati Rayudu ,not out,27,14,2,2,192.85,,,,,Yes,No,CSK
6,1st,Ravindra Jadeja ,c Ravi Bishnoi b Wood,3,6,0,0,50,,,,,No,No,CSK
6,1st,MS Dhoni ,c Ravi Bishnoi b Wood,12,3,0,2,400,,,,,No,Yes,CSK
6,1st,Mitchell Santner ,not out,1,1,0,0,100,,,,,No,No,CSK
6,1st,Extras,,16,,,,,4,4,1,7,,,CSK
6,2nd,KL Rahul ,c Gaikwad b Ali,20,18,2,0,111.11,,,,,No,Yes,LSG
6,2nd,Kyle Mayers ,c Conway b Ali,53,22,8,2,240.9,,,,,No,No,LSG
6,2nd,Deepak Hooda ,c Stokes b Santner,2,6,0,0,33.33,,,,,No,No,LSG
6,2nd,Krunal Pandya ,c Jadeja b Ali,9,9,0,1,100,,,,,No,No,LSG
6,2nd,Marcus Stoinis ,b Ali,21,18,0,1,116.66,,,,,No,No,LSG
6,2nd,Nicholas Pooran ,c Stokes b Deshpande,32,18,2,3,177.77,,,,,No,No,LSG
