Match_No,Innings,Team,Bowler,Overs_Bowled,Maidens,Runs_Scored,Wickets,Economy_Rate,0s,4s,6s,Wides,No_Balls,Impact_Sub
1,1st,GT,Mohammed Shami,4,0,29,2,7.25,13,2,2,0,1,No
1,1st,GT,Hardik Pandya,3,0,28,0,9.33,6,2,2,0,0,No
1,1st,GT,Josh Little,4,0,41,1,10.25,10,4,3,0,0,No
1,1st,GT,Rashid Khan,4,0,26,2,6.5,10,2,1,0,0,No
1,1st,GT,Alzarri Joseph,4,0,33,2,8.25,8,0,3,0,0,No
1,1st,GT,Yash Dayal,1,0,14,0,14,2,0,2,0,0,No
1,2nd,CSK,Deepak Chahar,4,0,29,0,7.25,9,1,2,0,0,No
1,2nd,CSK,Tushar Deshpande,3.2,0,51,1,15.3,5,4,4,1,1,Yes
1,2nd,CSK,Rajvardhan Hangargekar,4,0,36,3,9,10,4,1,3,1,No
1,2nd,CSK,Mitchell Santner,4,0,32,0,8,7,5,0,0,0,No
1,2nd,CSK,Ravindra Jadeja,4,0,28,1,7,9,1,1,0,0,No
2,1st,KKR,Umesh Yadav,4,0,27,1,6.75,11,2,1,0,0,No
2,1st,KKR,Tim Southee,4,0,54,2,13.5,7,6,3,0,0,No
2,1st,KKR,Sunil Narine,4,0,40,1,10,8,3,2,1,0,No
2,1st,KKR,Varun Chakravarthy,4,0,26,1,6.5,10,2,1,1,0,Yes
2,1st,KKR,Shardul Thakur,4,0,43,0,10.75,7,4,2,0,1,No
2,2nd,PK,Sam Curran,3,0,38,1,12.66,4,3,3,0,0,No
2,2nd,PK,Arshdeep Singh,3,0,19,3,6.33,10,2,1,0,0,No
2,2nd,PK,Nathan Ellis,3,0,27,1,9,8,2,1,0,2,No
2,2nd,PK,Sikandar Raza,3,0,25,1,8.33,5,3,0,1,0,No
2,2nd,PK,Rishi Dhawan,1,0,15,0,15,2,2,1,0,0,Yes
2,2nd,PK,Rahul Chahar,2,0,12,1,6,5,0,1,0,0,No
2,2nd,PK,Harpreet Brar,1,0,7,0,7,3,1,0,0,0,No
3,1st,DC,Khaleel Ahmed,4,0,30,2,7.5,15,3,2,1,0,Yes
3,1st,DC,Mukesh Kumar,4,0,34,0,8.5,5,0,2,1,0,No
3,1st,DC,Chetan Sakariya,4,0,53,2,13.25,8,1,6,3,0,No
3,1st,DC,Axar Patel,4,0,38,1,9.5,8,1,3,0,0,No
3,1st,DC,Kuldeep Yadav,4,0,35,1,8.75,7,0,3,0,0,No
3,2nd,LSG,Kyle Mayers,1,0,7,0,7,3,1,0,1,0,No
3,2nd,LSG,Jaydev Unadkat,3,0,39,0,13,3,5,0,2,0,No
3,2nd,LSG,Krishnappa Gowtham,4,0,23,0,5.75,9,2,0,1,0,Yes
3,2nd,LSG,Avesh Khan,4,0,29,2,7.25,12,3,1,0,0,No
3,2nd,LSG,Mark Wood,4,0,14,5,3.5,17,1,0,1,1,No
3,2nd,LSG,Ravi Bishnoi,4,0,31,2,7.75,8,3,1,0,0,No
4,1st,SRH,Bhuvneshwar Kumar,3,0,36,0,12,6,4,2,1,0,No
4,1st,SRH,Fazalhaq Farooqi,4,0,41,2,10.25,11,7,0,0,0,Yes
4,1st,SRH,Washington Sundar,3,0,32,0,10.66,5,1,3,0,0,No
4,1st,SRH,T Natarajan,3,0,23,2,7.66,7,4,0,0,0,No
4,1st,SRH,Adil Rashid,4,0,33,0,8.25,6,1,2,0,0,No
4,1st,SRH,Umran Malik,3,0,32,1,10.66,4,4,1,1,0,No
4,2nd,RR,Trent Boult,4,1,21,2,5.25,15,2,1,0,0,No
4,2nd,RR,KM Asif,3,0,15,0,5,9,1,0,1,0,No
4,2nd,RR,Jason Holder,3,0,16,1,5.33,10,1,1,0,0,No
4,2nd,RR,Ravichandran Ashwin,4,0,27,1,6.75,10,1,1,2,0,No
4,2nd,RR,Yuzvendra Chahal,4,0,17,4,4.25,11,0,0,0,0,No
4,2nd,RR,Navdeep Saini,2,0,34,0,17,3,3,2,0,3,Yes
5,1st,RCB,Mohammed Siraj,4,0,21,1,5.25,16,2,0,6,0,No
5,1st,RCB,Reece Topley,2,0,14,1,7,7,3,0,0,0,No
5,1st,RCB,Akash Deep,3,0,29,1,9.66,7,2,2,0,0,No
5,1st,RCB,Harshal Patel,4,0,43,1,10.75,6,3,2,1,1,No
5,1st,RCB,Karn Sharma,4,0,32,2,8,7,1,2,1,0,No
5,1st,RCB,Michael Bracewell,2,0,16,1,8,6,3,0,0,0,No
5,1st,RCB,Glenn Maxwell,1,0,16,0,16,0,1,1,1,0,No
5,2nd,MI,Jason Behrendorff,3,0,37,0,12.33,6,3,3,0,0,Yes
5,2nd,MI,Arshad Khan,2.2,0,28,1,12,7,2,2,4,0,No
5,2nd,MI,Jofra Archer,4,0,33,0,8.25,10,2,2,0,0,No
5,2nd,MI,Piyush Chawla,4,0,26,0,6.5,11,2,1,0,0,No
5,2nd,MI,Cameron Green,2,0,30,1,15,4,2,3,0,0,No
5,2nd,MI,Hrithik Shokeen,1,0,17,0,17,0,0,2,0,0,No
6,1st,LSG,Kyle Mayers,2,0,16,0,8,1,1,0,1,0,No
6,1st,LSG,Avesh Khan,3,0,39,1,13,4,6,0,1,0,Yes
