Match_No,Match_Date,Home_Team,Visiting_Team,Ground,Toss,Winner
1,31-Mar-23,GT,CSK,Ahmedabad,GT,GT
2,01-Apr-23,PK,KKR,Mohali,KKR,PK
3,01-Apr-23,LSG,DC,Lucknow,DC,LSG
4,02-Apr-23,SRH,RR,Hyderabad,SRH,RR
5,02-Apr-23,RCB,MI,Bengaluru,RCB,RCB
6,03-Apr-23,CSK,LSG,Chennai,LSG,CSK
7,04-Apr-23,DC,GT,Delhi,GT,GT
8,05-Apr-23,RR,PK,Guwahati,RR,PK
9,06-Apr-23,KKR,RCB,Kolkata,RCB,KKR
10,07-Apr-23,LSG,SRH,Lucknow,SRH,LSG
11,08-Apr-23,RR,DC,Guwahati,DC,RR
12,08-Apr-23,MI,CSK,Mumbai,CSK,CSK
13,09-Apr-23,GT,KKR,Ahmedabad,GT,KKR
14,09-Apr-23,SRH,PK,Hyderabad,SRH,SRH
15,10-Apr-23,RCB,LSG,Bengaluru,LSG,LSG
16,11-Apr-23,DC,MI,Delhi,MI,MI
17,12-Apr-23,CSK,RR,Chennai,CSK,RR
18,13-Apr-23,PK,GT,Mohali,GT,GT
19,14-Apr-23,KKR,SRH,Kolkata,KKR,SRH
20,15-Apr-23,RCB,DC,Bengaluru,DC,RCB
21,15-Apr-23,LSG,PK,Lucknow,PK,PK
22,16-Apr-23,MI,KKR,Mumbai,MI,MI
23,16-Apr-23,GT,RR,Ahmedabad,RR,RR
24,17-Apr-23,RCB,CSK,Bengaluru,RCB,CSK
25,18-Apr-23,SRH,MI,Hyderabad,SRH,MI
26,19-Apr-23,RR,LSG,Jaipur,RR,LSG
27,20-Apr-23,PK,RCB,Mohali,PK,RCB
28,20-Apr-23,DC,KKR,Delhi,DC,DC
29,21-Apr-23,CSK,SRH,Chennai,CSK,CSK
30,22-Apr-23,LSG,GT,Lucknow,GT,GT
31,22-Apr-23,MI,PK,Mumbai,MI,PK
32,23-Apr-23,RCB,RR,Bengaluru,RR,RCB
33,23-Apr-23,KKR,CSK,Kolkata,KKR,CSK
34,24-Apr-23,SRH,DC,Hyderabad,DC,DC
35,25-Apr-23,GT,MI,Ahmedabad,MI,GT
36,26-Apr-23,RCB,KKR,Bengaluru,RCB,KKR
37,27-Apr-23,RR,CSK,Jaipur,RR,RR
38,28-Apr-23,PK,LSG,Mohali,PK,LSG
39,29-Apr-23,KKR,GT,Kolkata,GT,GT
40,29-Apr-23,DC,SRH,Delhi,SRH,SRH
41,30-Apr-23,CSK,PK,Chennai,CSK,PK
42,30-Apr-23,MI,RR,Mumbai,RR,MI
43,01-May-23,LSG,RCB,Lucknow,RCB,RCB
44,02-May-23,GT,DC,Ahmedabad,DC,DC
45,03-May-23,LSG,CSK,Lucknow,,No Result
46,03-May-23,PK,MI,Mohali,MI,MI
47,04-May-23,SRH,KKR,Hyderabad,KKR,KKR
48,05-May-23,RR,GT,Jaipur,RR,GT
49,06-May-23,CSK,MI,Chennai,CSK,CSK
50,06-May-23,DC,RCB,Delhi,RCB,DC
51,07-May-23,GT,LSG,Ahmedabad,LSG,GT
52,07-May-23,RR,SRH,Jaipur,RR,SRH
53,08-May-23,KKR,PK,Kolkata,PK,KKR
54,09-May-23,MI,RCB,Mumbai,MI,MI
55,10-May-23,CSK,DC,Chennai,CSK,CSK
56,11-May-23,KKR,RR,Kolkata,RR,RR
57,12-May-23,MI,GT,Mumbai,GT,MI
58,13-May-23,SRH,LSG,Hyderabad,SRH,LSG
59,13-May-23,DC,PK,Delhi,DC,PK
60,14-May-23,RR,RCB,Jaipur,RCB,RCB
61,14-May-23,CSK,KKR,Chennai,CSK,KKR
62,15-May-23,GT,SRH,Ahmedabad,SRH,GT
63,16-May-23,LSG,MI,Lucknow,MI,LSG
64,17-May-23,PK,DC,Dharamsala,PK,DC
65,18-May-23,SRH,RCB,Hyderabad,RCB,RCB
66,19-May-23,PK,RR,Dharamsala,RR,RR
67,20-May-23,DC,CSK,Delhi,CSK,CSK
68,20-May-23,KKR,LSG,Kolkata,KKR,LSG
69,21-May-23,MI,SRH,Mumbai,MI,MI
70,21-May-23,RCB,GT,Bengaluru,GT,GT
