Match_No,Innings,Team,Powerplay_Score,Wickets_Lost
1,1st,CSK,51,2
1,2nd,GT,65,1
2,1st,PK,56,1
2,2nd,KKR,46,3
3,1st,LSG,30,1
3,2nd,DC,47,2
4,1st,RR,85,1
4,2nd,SRH,30,2
5,1st,MI,29,3
5,2nd,RCB,53,0
6,1st,CSK,79,0
6,2nd,LSG,80,1
7,1st,DC,52,2
7,2nd,GT,54,3
8,1st,PK,63,0
8,2nd,RR,57,3
9,1st,KKR,47,2
9,2nd,RCB,50,2
10,1st,SRH,43,1
10,2nd,LSG,45,2
11,1st,RR,68,0
11,2nd,DC,38,3
12,1st,MI,61,1
12,2nd,CSK,68,1
13,1st,GT,54,1
13,2nd,KKR,43,2
14,1st,PK,41,3
14,2nd,SRH,34,1
15,1st,RCB,56,0
15,2nd,LSG,37,3
16,1st,DC,51,1
16,2nd,MI,68,0
17,1st,RR,57,1
17,2nd,CSK,45,1
18,1st,PK,52,2
18,2nd,GT,56,1
19,1st,SRH,65,2
19,2nd,KKR,62,3
20,1st,RCB,47,1
20,2nd,DC,32,4
21,1st,LSG,49,0
21,2nd,PK,45,3
22,1st,KKR,57,2
22,2nd,MI,72,1
23,1st,GT,42,2
23,2nd,RR,26,2
24,1st,CSK,53,1
24,2nd,RCB,75,2
25,1st,MI,53,1
25,2nd,SRH,42,2
26,1st,LSG,37,0
26,2nd,RR,47,0
27,1st,RCB,59,0
27,2nd,PK,49,4
28,1st,KKR,35,3
28,2nd,DC,61,1
29,1st,SRH,45,1
29,2nd,CSK,60,0
30,1st,GT,40,1
30,2nd,LSG,53,0
31,1st,PK,58,1
31,2nd,MI,54,1
32,1st,RCB,62,2
32,2nd,RR,47,1
33,1st,CSK,59,0
33,2nd,KKR,38,2
34,1st,DC,49,2
34,2nd,SRH,36,1
35,1st,GT,50,1
35,2nd,MI,29,1
36,1st,KKR,66,0
36,2nd,RCB,58,3
37,1st,RR,64,0
37,2nd,CSK,42,1
38,1st,LSG,74,2
38,2nd,PK,55,2
39,1st,KKR,61,2
39,2nd,GT,52,1
40,1st,SRH,62,2
40,2nd,DC,57,1
41,1st,CSK,57,0
41,2nd,PK,62,1
42,1st,RR,65,0
42,2nd,MI,58,1
43,1st,RCB,42,0
43,2nd,LSG,34,4
44,1st,DC,28,5
44,2nd,GT,31,3
45,1st,LSG,31,3
46,1st,PK,50,1
46,2nd,MI,54,2
47,1st,KKR,49,3
47,2nd,SRH,53,3
48,1st,RR,50,2
48,2nd,GT,49,0
49,1st,MI,34,3
49,2nd,CSK,55,1
50,1st,RCB,51,0
50,2nd,DC,70,1
51,1st,GT,78,0
51,2nd,LSG,72,0
52,1st,RR,61,1
52,2nd,SRH,52,1
53,1st,PK,58,3
53,2nd,KKR,52,1
54,1st,RCB,56,2
54,2nd,MI,62,2
55,1st,CSK,49,1
55,2nd,DC,47,3
56,1st,KKR,37,2
56,2nd,RR,78,1
57,1st,MI,61,0
57,2nd,GT,48,3
58,1st,SRH,56,2
58,2nd,LSG,30,1
59,1st,PK,46,3
59,2nd,DC,65,0
60,1st,RCB,42,0
60,2nd,RR,28,5
61,1st,CSK,52,1
61,2nd,KKR,46,3
62,1st,GT,65,1
62,2nd,SRH,45,4
63,1st,LSG,35,2
63,2nd,MI,58,0
64,1st,DC,61,0
64,2nd,PK,47,1
65,1st,SRH,49,2
65,2nd,RCB,64,0
66,1st,PK,48,3
66,2nd,RR,57,1
67,1st,CSK,52,0
67,2nd,DC,34,3
68,1st,LSG,54,1
68,2nd,KKR,61,1
69,1st,SRH,53,0
69,2nd,MI,60,1
70,1st,RCB,62,0
70,2nd,GT,51,1
