Team,Player_Name,Role,Batter_Type,Bowler_Style,Bowler_Type,Seamer_or_Spinner,Overseas_Player
CSK,MS Dhoni,Wicketkeeper Batter,Right hand Bat,Right arm Medium,Right,Seamer,No
CSK,Akash Singh,Bowler,Right hand Bat,Left arm Medium fast,Left,Seamer,No
CSK,Moeen Ali,Batting Allrounder,Left hand Bat,Right arm Offbreak,Right,Spinner,Yes
CSK,Bhagath Varma,Bowling Allrounder,Right hand Bat,Right arm Offbreak,Right,Spinner,No
CSK,Deepak Chahar,Bowler,Right hand Bat,Right arm Medium,Right,Seamer,No
CSK,Devon Conway,Wicketkeeper Batter,Left hand Bat,Right arm Medium,Right,Seamer,Yes
CSK,Tushar Deshpande,Bowler,Left hand Bat,Right arm Medium,Right,Seamer,No
CSK,Shivam Dube,Allrounder,Left hand Bat,Right arm Medium,Right,Seamer,No
CSK,Ruturaj Gaikwad,Batter,Right hand Bat,Right arm Offbreak,Right,Spinner,No
CSK,Rajvardhan Hangargekar,Bowling Allrounder,Right hand Bat,Right arm Fast medium,Right,Seamer,No
CSK,Ravindra Jadeja,Allrounder,Left hand Bat,Slow Left arm Orthodox,Left,Spinner,No
CSK,Sisanda Magala,Bowler,Right hand Bat,Right arm Fast medium,Right,Seamer,Yes
CSK,Ajay Mandal,Allrounder,Left hand Bat,Slow Left arm Orthodox,Left,Spinner,No
CSK,Matheesha Pathirana,Bowler,Right hand Bat,Right arm Fast,Right,Seamer,Yes
CSK,Dwaine Pretorius,Bowling Allrounder,Right hand Bat,Right arm Medium fast,Right,Seamer,Yes
CSK,Ajinkya Rahane,Top order Batter,Right hand Bat,Right arm Medium,Right,Seamer,No
CSK,Shaik Rasheed,Batter,Right hand Bat,Legbreak,Right,Spinner,No
CSK,Ambati Rayudu,Middle order Batter,Right hand Bat,Right arm Offbreak,Right,Spinner,No
CSK,Mitchell Santner,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox,Left,Spinner,Yes
CSK,Subhranshu Senapati,Top order Batter,Right hand Bat,Right arm Medium,Right,Seamer,No
CSK,Simarjeet Singh,Bowler,Right hand Bat,Right arm Medium fast,Right,Seamer,No
CSK,Nishant Sindhu,Allrounder,Left hand Bat,Slow Left arm Orthodox,Left,Spinner,No
CSK,Prashant Solanki,Bowler,Right hand Bat,Legbreak,Right,Spinner,No
CSK,Ben Stokes,Allrounder,Left hand Bat,Right arm Fast medium,Right,Seamer,Yes
CSK,Maheesh Theekshana,Bowler,Right hand Bat,Right arm Offbreak,Right,Spinner,Yes
DC,David Warner,Opening Batter,Left hand Bat,Legbreak,Right,Spinner,Yes
DC,Abishek Porel,Wicketkeeper Batter,Left hand Bat,,,,No
DC,Khaleel Ahmed,Bowler,Right hand Bat,Left arm Medium,Left,Seamer,No
DC,Aman Hakim Khan,Allrounder,Right hand Bat,Right arm Medium,Right,Seamer,No
DC,Yash Dhull,Top order Batter,Right hand Bat,Right arm Offbreak,Right,Spinner,No
DC,Praveen Dubey,Bowler,Right hand Bat,Legbreak Googly,Right,Spinner,No
DC,Priyam Garg,Top order Batter,Right hand Bat,Right arm Medium,Right,Seamer,No
DC,Sarfaraz Khan,Middle order Batter,Right hand Bat,Legbreak,Right,Spinner,No
DC,Kuldeep Yadav,Bowler,Left hand Bat,Left arm Wrist spin,Left,Spinner,No
DC,Lalit Yadav,Allrounder,Right hand Bat,Right arm Offbreak,Right,Spinner,No
DC,Mitchell Marsh,Allrounder,Right hand Bat,Right arm Medium,Right,Seamer,Yes
DC,Mukesh Kumar,Bowler,Right hand Bat,Right arm Medium,Right,Seamer,No
DC,Mustafizur Rahman,Bowler,Left hand Bat,Left arm Fast medium,Left,Seamer,Yes
DC,Lungi Ngidi,Bowler,Right hand Bat,Right arm Fast medium,Right,Seamer,Yes
DC,Anrich Nortje,Bowler,Right hand Bat,Right arm Fast,Right,Seamer,Yes
DC,Vicky Ostwal,Bowler,Right hand Bat,Slow Left arm Orthodox,Left,Spinner,No
DC,Manish Pandey,Top order Batter,Right hand Bat,Right arm Medium,Right,Seamer,No
DC,Ripal Patel,Middle order Batter,Right hand Bat,Right arm Medium fast,Right,Seamer,No
DC,Axar Patel,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox,Left,Spinner,No
DC,Rovman Powell,Middle order Batter,Right hand Bat,Right arm Medium fast,Right,Seamer,Yes
DC,Rilee Rossouw,Top order Batter,Left hand Bat,Right arm Offbreak,Right,Spinner,Yes
DC,Chetan Sakariya,Bowler,Left hand Bat,Left arm Medium fast,Left,Seamer,No
DC,Phil Salt,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak,Right,Spinner,Yes
DC,Ishant Sharma,Bowler,Right hand Bat,Right arm Fast medium,Right,Seamer,No
DC,Prithvi Shaw,Opening Batter,Right hand Bat,Right arm Offbreak,Right,Spinner,No
GT,Hardik Pandya,Allrounder,Right hand Bat,Right arm Medium fast,Right,Seamer,No
GT,Srikar Bharat,Wicketkeeper Batter,Right hand Bat,,,,No
GT,Alzarri Joseph,Bowler,Right hand Bat,Right arm Fast,Right,Seamer,Yes
GT,Josh Little,Bowler,Right hand Bat,Left arm Fast medium,Left,Seamer,Yes
GT,Abhinav Manohar,Batting Allrounder,Right hand Bat,Legbreak Googly,Right,Spinner,No
GT,David Miller,Middle order Batter,Left hand Bat,Right arm Offbreak,Right,Spinner,Yes
GT,Mohammed Shami,Bowler,Right hand Bat,Right arm Fast,Right,Seamer,No
GT,Darshan Nalkande,Bowler,Right hand Bat,Right arm Fast medium,Right,Seamer,No
GT,Noor Ahmad,Bowler,Right hand Bat,Left arm Wrist spin,Left,Spinner,Yes
GT,Urvil Patel,Wicketkeeper Batter,Right hand Bat,,,,No
GT,Rashid Khan,Bowling Allrounder,Right hand Bat,Legbreak Googly,Right,Spinner,Yes
GT,Wriddhiman Saha,Wicketkeeper Batter,Right hand Bat,,,,No
GT,Ravisrinivasan Sai Kishore,Bowler,Left hand Bat,Slow Left arm Orthodox,Left,Spinner,No
GT,Sai Sudharsan,Top order Batter,Left hand Bat,Legbreak,Right,Spinner,No
